0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
4.38865232223171,9.752357614283877,-53.26080467553367,0.38770272288608965,1.1085677389393203,Skoda,Karoq,Other,SUV,Petrol,Automatic Transmission,,100 - 199 HP,Blue,Black,Yes,Dubai,Dealership/Certified Pre-Owned,112000
4.638077189609737,9.71918675015463,-50.07187643998042,0.43038583832765115,0.8629148990575694,BMW,4-Series,430i Gran Coupe,Sedan,Petrol,Automatic Transmission,,,Blue,Other Color,Yes,Dubai,Dealership/Certified Pre-Owned,243000
5.787196768576642,9.676300596662397,-1.9512361696984337,0.5159808415841407,0.3902181362836657,Porsche,Cayman,Standard,Coupe,Petrol,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,Blue,Black,Does not apply,Dubai,Dealer,54900
4.464547282552977,9.757563746546996,-55.38160664292274,0.35585267994583597,1.916422859646325,Peugeot,5008,Other,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Blue,Unknown,No,Dubai,Dealer,139000
,,-20.445634427741663,0.34471934530145343,0.7702416832031734,Mercedes-Benz,E-Class Coupe,Other,Coupe,Petrol,Automatic Transmission,,300 - 399 HP,White,White,Yes,Dubai,Owner,225000
5.939965973262144,9.71524610723269,-39.49408766705366,2.8315255146884435,1.1080315100547855,Honda,Accord,Other,Sedan,Petrol,Automatic Transmission,500 - 999 cc,100 - 199 HP,Gold,Beige,No,Dubai,Owner,12500
5.01776346609012,9.724074626509,-21.637929882973737,0.35901483200880246,0.8114435011068568,BMW,5-Series,530i,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Beige,Yes,Dubai,Dealer,135000
4.7251691339924715,9.75993044417669,,0.6260444190906287,2.640294612033629,Toyota,Land Cruiser,GXR TOP,SUV,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,White,Beige,Yes,Dubai,Owner,229000
5.066275619636402,9.74723060737031,49.54005881714637,0.8042128799701249,1.3927918885427508,Porsche,Cayenne,Turbo,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,White,Brown,No,Dubai,Dealer,103900
5.029514589667827,9.711638757604712,-45.25654760007283,,,Renault,Captur,SE,Hatchback,Petrol,Manual Transmission,1500 - 1999 cc,Unknown,Beige,Black,No,Dubai,Owner,28000
